"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","488","7.5"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","371","6.9"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","413,054","12.4"
"CENSUS","2012","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","977,000","11.3"
"CENSUS","2012","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","47","4.5"
"CENSUS","2012","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","34","6.2"
"CENSUS","2012","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,623","1.6"
"CENSUS","2012","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","198,000","2.7"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","148","59.7"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","141","63.8"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,819,300","67.7"
"CENSUS","2012","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","3,145,000","64.7"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","242","13.8"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","165","23.1"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,488,986","3.1"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,470,000","3.2"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","991","13.4"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","719","13.7"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,088,653","12.1"
"CENSUS","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","20,485,000","11.8"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","357","22.4"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","259","22.5"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,271,243","33.6"
"CENSUS","2012","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","2,627,000","31.0"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","291","60.7"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","227","74.4"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","155,991","35.6"
"CENSUS","2012","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","609,000","48.2"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","33","44.4"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","27","35.1"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","7,060","32.2"
"CENSUS","2012","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","24,000","30.7"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH PRODUCTION","TOTAL","NOT SPECIFIED","692","10.2"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","552","9.5"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","11,145,626","8.0"
"CENSUS","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","HONEY - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED","18,788,000","9.2"
